platform	target	subtarget	device	name	soc	edition	channel	max_feature
mtk	mediatek	filogic	bananapi_bpi-r4-lite	Bananapi BPi-R4 Lite	mt7987	open	edge	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r4-lite	Bananapi BPi-R4 Lite	mt7987	open	lts	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r4-poe	Bananapi BPi-R4 2.5GE	mt7988	open	edge	standard-usb
mtk	mediatek	filogic	bananapi_bpi-r4-poe	Bananapi BPi-R4 2.5GE	mt7988	open	lts	standard-usb
mtk	mediatek	filogic	bazis_ax3000wm	Bazis AX3000WM	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	bazis_ax3000wm	Bazis AX3000WM	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	bazis_ax3000wm	Bazis AX3000WM	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	bazis_ax3000wm	Bazis AX3000WM	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	buffalo_wsr-3000ax4p	BUFFALO WSR-3000AX4P	mt7981	open	edge	standard
mtk	mediatek	filogic	buffalo_wsr-6000ax8	Buffalo WSR-6000AX8	mt7986	open	edge	core
mtk	mediatek	filogic	buffalo_wsr-6000ax8	Buffalo WSR-6000AX8	mt7986	open	lts	core
mtk	mediatek	filogic	buffalo_wsr-6000ax8	Buffalo WSR-6000AX8	mt7986	pro	edge	core
mtk	mediatek	filogic	buffalo_wsr-6000ax8	Buffalo WSR-6000AX8	mt7986	pro	lts	core
mtk	mediatek	filogic	cetron_ct3003	Cetron CT3003	mt7981	open	edge	core
mtk	mediatek	filogic	cetron_ct3003	Cetron CT3003	mt7981	open	lts	core
mtk	mediatek	filogic	cetron_ct3003	Cetron CT3003	mt7981	pro	edge	core
mtk	mediatek	filogic	cetron_ct3003	Cetron CT3003	mt7981	pro	lts	core
mtk	mediatek	filogic	cetron_ct3003-ubootmod	Cetron CT3003	mt7981	open	edge	standard
mtk	mediatek	filogic	cetron_ct3003-ubootmod	Cetron CT3003	mt7981	open	lts	standard
mtk	mediatek	filogic	cetron_ct3003-ubootmod	Cetron CT3003	mt7981	pro	edge	standard
mtk	mediatek	filogic	cetron_ct3003-ubootmod	Cetron CT3003	mt7981	pro	lts	standard
